lat,lon,surface,code_culture,value
48.05708,-4.70907,0.76,MIS,8109
47.99264,-4.44287,3.83,BTH,38606
48.0389,-4.69742,0.54,MIE,5761
48.04066,-4.69471,0.81,MIE,8642
48.05176,-4.69945,1.57,BTH,15825
48.05289,-4.69958,1.41,MIS,15044
48.05352,-4.69852,1.04,MIS,11096
48.0577,-4.69813,0.94,MIE,10029
48.05086,-4.69725,0.44,MIS,4694
48.05894,-4.69829,0.84,MIE,8962
48.05629,-4.6976,1.28,MIS,13657
48.05963,-4.69797,0.82,MIE,8749
48.05449,-4.69694,1.26,BTH,12700
48.03993,-4.69386,0.27,MIE,2880
48.03698,-4.69006,0.34,TTH,2951
48.03611,-4.68916,1.03,MIS,10990
48.03211,-4.6878,0.66,TTH,5728
48.03351,-4.68681,4.17,ORH,27980
48.04014,-4.68823,0.18,MIS,1920
48.05914,-4.69579,0.85,MIE,9069
48.05406,-4.69463,0.32,MIE,3414
48.05868,-4.69419,0.81,MIE,8642
48.05096,-4.69252,4.71,ORH,31604
48.05492,-4.69196,0.66,MIE,7042
48.05246,-4.6917,2.93,MIS,31263
48.05825,-4.69228,1.79,MIE,19099
48.05156,-4.69052,0.77,MIS,8215
48.05421,-4.6912,3.23,MIE,34464
48.05789,-4.69135,1.44,MIS,15364
48.0467,-4.68939,1.45,MIE,15471
48.05304,-4.69014,0.62,MIE,6615
48.04766,-4.68894,0.43,MIE,4588
48.03254,-4.6859,1.09,TTH,9461
48.0392,-4.68653,0.76,ORP,5099
48.03812,-4.68608,0.99,ORP,6642
48.03335,-4.68526,0.26,TTH,2256
48.03861,-4.6863,0.99,BTH,9979
48.03298,-4.68448,1.45,ORH,9729
48.03444,-4.6841,0.02,PTC,235
48.33998,-4.76999,0.31,MIS,3307
48.03374,-4.68413,1.27,PTC,14935
48.0343,-4.68365,0.03,TTH,260
48.03358,-4.68344,0.41,TTH,3558
48.03732,-4.68401,0.17,BTH,1713
48.03316,-4.68283,0.68,TTH,5902
48.03378,-4.68294,0.07,TTH,607
48.03822,-4.68386,0.4,BTH,4032
48.03278,-4.6823,1.14,ORH,7649
48.03388,-4.68204,0.55,TTH,4774
48.0331,-4.68159,0.08,TTH,694
48.038,-4.68144,0.49,MIS,5228
48.03934,-4.68099,0.76,MIS,8109
48.03329,-4.68033,1.9,TTH,16491
48.05246,-4.68938,1.68,BTH,16934
48.05,-4.68875,2.71,MIS,28915
48.0543,-4.68833,3.07,MIS,32756
48.05307,-4.68694,3.61,BTH,36388
48.05212,-4.6861,1.53,BTH,15422
48.05324,-4.68485,3.84,BTH,38707
48.0474,-4.68376,1.08,BTH,10886
48.05107,-4.6845,1.35,BTH,13608
48.04932,-4.68352,0.9,BTH,9072
48.05383,-4.6831,1.18,MLG,3776
48.0562,-4.68335,0.57,MIS,6081
48.05731,-4.68366,2.21,MCR,21923
48.03796,-4.68028,0.3,ORH,2013
48.03934,-4.67835,0.57,MIS,6081
48.03851,-4.67795,0.24,ORH,1610
48.03876,-4.67787,0.19,MIS,2027
48.0385,-4.67659,0.42,ORH,2818
48.03932,-4.67661,0.66,ORH,4428
48.0392,-4.67512,0.95,TTH,8245
48.0391,-4.67355,0.35,TTH,3038
48.05253,-4.68224,0.97,MCR,9622
48.05318,-4.68234,0.67,BTH,6753
48.04825,-4.68178,0.56,MIS,5975
48.05038,-4.68217,2.27,BTH,22881
48.04944,-4.68049,0.62,BTH,6249
48.0534,-4.67912,1.49,BTH,15019
48.05452,-4.6796,1.57,BTH,15825
48.05164,-4.67896,1.34,MIE,14297
48.04835,-4.6776,1.3,BTH,13104
48.05276,-4.67828,2.61,BTH,26308
48.05875,-4.67761,2.09,MIE,22300
48.04891,-4.67554,1.73,BTH,17438
48.057,-4.67654,1.09,MCR,10812
48.04455,-4.67385,1.7,MIS,18139
48.04494,-4.672,1.62,MIS,17285
48.04384,-4.6679,2.96,MIS,31583
48.0536,-4.67571,0.7,BTH,7055
48.05765,-4.67525,1.85,MIE,19739
48.04665,-4.67323,0.91,MIS,9709
48.05324,-4.67413,2.28,BTH,22982
48.04852,-4.6733,0.67,BTH,6753
48.05546,-4.67443,1.01,BTH,10180
48.05456,-4.67378,1.11,BTH,11188
48.04584,-4.67213,0.49,MIS,5228
48.05039,-4.67104,0.83,BTH,8366
48.0555,-4.67211,4.44,BTH,44755
48.05386,-4.67152,0.11,BTH,1108
48.04756,-4.66897,0.51,MIS,5441
48.05408,-4.67007,1.87,BTH,18849
48.0488,-4.6692,2.09,BTH,21067
48.05545,-4.66956,1.25,MIE,13337
48.04634,-4.66814,3.2,BTH,32256
48.05416,-4.66906,1.11,MIE,11843
48.04516,-4.66679,1.19,MIS,12697
48.04362,-4.66669,1.73,MIS,18459
48.04468,-4.66561,0.55,MIS,5868
48.04298,-4.66473,1.25,MIS,13337
